Run,bases,avgLength,size_MB,LibraryStrategy,Platform,Model
SRR17868070,57215886,602,31,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868071,69359430,602,38,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868072,56968464,602,32,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868073,43838242,602,24,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868074,41863682,602,24,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868075,57381436,602,32,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868076,39973402,602,22,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868077,49814296,602,27,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868078,48321336,602,27,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868079,51061640,602,28,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868080,59850840,602,34,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868081,34203232,602,19,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868082,24414712,602,14,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868083,51974874,602,29,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868084,65313990,602,35,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868085,50908732,602,28,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868086,49401324,602,27,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868087,45183712,602,24,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868088,53140948,602,30,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868089,51862902,602,29,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868090,31326274,602,17,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868091,61877774,602,35,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868092,58701622,602,32,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868093,35425292,602,19,AMPLICON,ILLUMINA,Illumina MiSeq
SRR17868094,45972332,602,26,AMPLICON,ILLUMINA,Illumina MiSeq
